,text,source
3000,"How long is a top up supposed to be pending, because an hour is too long! Can you fix this to go through?",BANKING77
3001,Whats the process of tranfering money into an account?,BANKING77
3002,Can i get money in my home currency at some ATM ? As I am on holiday and bit concerned because i do not have any cash with me . Is it possible to withdraw without any additional cost.,BANKING77
3003,Where is my pin? I don't have it yet,BANKING77
3004,I want to open an account for my child.,BANKING77
3005,The money disappeared when I tried to use my card to top up.,BANKING77
3006,"The disposable cards, what are they for?",BANKING77
3007,I topped off my card is that something you will charge me for?,BANKING77
3008,I deposited a check yesterday and im not seeing it posted yet in my account. why is that? can you look into it?,BANKING77
3009,Can I exchange currency to Europe?,BANKING77
3010,Is my card accepted anywhere?,BANKING77
3011,Why was there a fee for my cash withdrawal?,BANKING77
3012,Why do i have an extra fee on my statement?,BANKING77
3013,"I am in desperate need to transfer funds from another account that i have into this one, how do i do that?",BANKING77
3014,I'd like to open an account for my kids can I do that?,BANKING77
3015,"Card payment is still pending, why is that the case?",BANKING77
3016,Why hasn't my friend received the transaction?,BANKING77
3017,What is taking so long on my transfer from the US?,BANKING77
3018,How can I get my card out of the ATM?,BANKING77
3019,How many top-ups can be approved?,BANKING77
3020,How do I withdraw money?,BANKING77
3021,I bought an item and the exchange rate was wrong.,BANKING77
3022,what was the $1 fee i got,BANKING77
3023,can i get a physical card online,BANKING77
3024,I'd like to order an additional card,BANKING77
3025,How does a bank transfer for topping my account work?,BANKING77
3026,The app failed to verify me.,BANKING77
3027,What if I don't want to disclose all of my identity details?,BANKING77
3028,Where is the card I ordered 2 weeks ago?,BANKING77
3029,Why did I get charged a fee for my transfer?,BANKING77
3030,I tried to used my card in a shop and the transaction was declined.,BANKING77
3031,How many disposable cards can I have at one time?,BANKING77
3032,I need quickly transfer something from China. About how long will it take?,BANKING77
3033,Do I need to add my salary?,BANKING77
3034,I only have a card from the US is that okay?,BANKING77
3035,I want to know about your refund policy.,BANKING77
3036,Why is there a fee for cash withdrawal?,BANKING77
3037,Where are you getting your exchange rates from?,BANKING77
3038,Is there anyway to use a cheque to top up?,BANKING77
3039,What happened to the money that I deposited?,BANKING77
3040,"My card is going to expire, what do I do?",BANKING77
3041,"If I am in China, can I still order a new card and if so, how?",BANKING77
3042,I lost my phone and need help so someone doesn't access my account.,BANKING77
3043,Is there a reason to why I was charged twice for a transaction?,BANKING77
3044,I am locked out from entering my pin.,BANKING77
3045,Can I top up my balance with a cheque?,BANKING77
3046,"I made a transaction, but I made it to an account I didn't mean to make it to.",BANKING77
3047,"I've got a problem - I purchased an item maybe a week or two ago, but to the payment came back to my account! I've already got what I ordered, so why are the payment funds showing up in my account?",BANKING77
3048,I need a new card before it expires.,BANKING77
3049,Do I need any kind of proof for the identity check?,BANKING77
3050,There is a charge for 1£ on my statement.  I do not think that I bought anything that costed 1£.  What is going on?,BANKING77
3051,A transfer to my account was denied.,BANKING77
3052,What steps do I have to take to change my PIN?,BANKING77
3053,What may be the reason that my transfer did not go through?,BANKING77
3054,I requested a refund for a large order the other day and don't think I received the funds. Can you tell me if you see them or not?,BANKING77
3055,Why do I have to pay extra for using my card?,BANKING77
3056,Are visa and mastercard accepted,BANKING77
3057,Am I limited to what ATM I can use my card?,BANKING77
3058,"I made a mistake when sending a payment, sending it to the wrong account number (with a typo) - can you please cancel the transaction?",BANKING77
3059,How do I get my card out of the ATM?,BANKING77
3060,Why does my transfer keep generating an error message?,BANKING77
3061,How can I change my PIN without going to the bank?,BANKING77
3062,Is there a fee for sending additional cards?,BANKING77
3063,"A strange card payment, I do not recognize it.",BANKING77
3064,"Hi, I am experiencing problems while trying to top-up with my card. I have never experienced any problems doing this before. Could you please help me?",BANKING77
3065,Do I get  a mastercard and visa?,BANKING77
3066,What are the charges for recieving SEPA transfers?,BANKING77
3067,I lost my phone. What do I need to do?,BANKING77
3068,I noticed an extra fee when I paid with my card.,BANKING77
3069,"I just transferred some money into my account and do not see it updated yet, can you assist?",BANKING77
3070,I want to transfer some money from my other bank account into this one.,BANKING77
3071,Where should I withdraw money from?,BANKING77
3072,"I was charged for a cash withdrawal, why?",BANKING77
3073,Send me my card now! ASAP,BANKING77
3074,Seems like the exchange rate for my payment last Saturday was wrong. I was charged extra.,BANKING77
3075,Can you tell my why my funds transfer did not work properly?,BANKING77
3076,Are there any fees if I want to add money using an international card?,BANKING77
3077,Can I top up my account with a check?,BANKING77
3078,How long will my transfer be pending?,BANKING77
3079,I just replaced my phone but how do I use my card information?,BANKING77
3080,I did a cash deposit to my account but it doesn't show up,BANKING77
3081,How can disposable cards be used?,BANKING77
3082,Which fiat currencies are supported for holding and exchanging?,BANKING77
3083,"I had everything lined up to make a transfer, and then it rejected it.",BANKING77
3084,I tried to top-up but it got denied.,BANKING77
3085,I don't understand why you want so much of my personal info.,BANKING77
3086,Where can I find the verification code for a top-up?,BANKING77
3087,Why can I not transfer money into my account?,BANKING77
